Title,Year,Rated,Month_Release,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,BoxOffice,Production
A Trip to the Moon,1902,TV-G,Oct,13,"Short, Adventure, Comedy, Fantasy, Sci-Fi",Georges Méliès,"Victor André, Bleuette Bernon, Brunnet, Jehanne d'Alcy",A group of astronomers go on an expedition to the Moon.,"None, French",France,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",8.2,43420,tt0000417,N/A,N/A
The Great Train Robbery,1903,TV-G,Dec,11,"Short, Action, Crime, Western",Edwin S. Porter,"A.C. Abadie, Gilbert M. 'Broncho Billy' Anderson, George Barnes, Justus D. Barnes","A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.","None, English",USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",7.3,16886,tt0000439,N/A,N/A
The Birth of a Nation,1915,TV-PG,Mar,195,"Drama, History, War",D.W. Griffith,"Henry B. Walthall, Lillian Gish, Mae Marsh, Miriam Cooper","The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",None,USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",6.3,22470,tt0004972,N/A,"David W. Griffith Corp., Epoch Producing Corporation"
Les vampires,1915,Not Rated,Nov,421,"Action, Adventure, Crime, Drama, Mystery, Thriller",Louis Feuillade,"Musidora, Édouard Mathé, Marcel Lévesque, Jean Aymé",An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.,French,France,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",7.3,4124,tt0006206,N/A,N/A
Intolerance: Love's Struggle Throughout the Ages,1916,Passed,Oct,197,"Drama, History",D.W. Griffith,"Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner","The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.","None, English",USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '99/100'}]",7.7,13988,tt0006864,N/A,Triangle Film Corporation
Broken Blossoms,1919,Not Rated,Oct,90,"Drama, Romance",D.W. Griffith,"Lillian Gish, Richard Barthelmess, Donald Crisp, Arthur Howard","A frail waif, abused by her brutal boxer father in London's seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.",N/A,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",7.3,9229,tt0009968,N/A,D.W. Griffith Productions
The Cabinet of Dr. Caligari,1920,Not Rated,Feb,67,"Fantasy, Horror, Mystery, Thriller",Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","None, German",Germany,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",8.1,56552,tt0010323,N/A,Decla-Bioscop AG
Within Our Gates,1920,Not Rated,Jan,79,"Drama, Romance",Oscar Micheaux,"Evelyn Preer, Flo Clements, James D. Ruffin, Jack Chenault","Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",N/A,USA,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",6.3,2215,tt0011870,N/A,Micheaux Book &amp
Orphans of the Storm,1921,Not Rated,,150,"Drama, History, Romance",D.W. Griffith,"Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee","Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",7.4,4595,tt0012532,N/A,D.W. Griffith Productions
The Phantom Carriage,1921,Not Rated,Jun,107,"Drama, Fantasy, Horror",Victor Sjöström,"Victor Sjöström, Hilda Borgström, Tore Svennberg, Astrid Holm","On New Year's Eve, the driver of a ghostly carriage forces a drunken man to reflect on his selfish, wasted life.","None, Swedish",Sweden,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",8.1,10112,tt0012364,N/A,Svensk Filmindustri
Dr. Mabuse the Gambler,1922,Not Rated,Sep,242,"Crime, Mystery, Thriller",Fritz Lang,"Rudolf Klein-Rogge, Aud Egede-Nissen, Gertrude Welcker, Alfred Abel",Arch-criminal Dr. Mabuse sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.,"None, German",Germany,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",7.9,7342,tt0013086,N/A,N/A
Foolish Wives,1922,Not Rated,Jan,117,"Drama, Thriller",Erich von Stroheim,"Rudolph Christians, Miss DuPont, Maude George, Mae Busch",A con artist masquerades a Russian nobility and attempts to seduce the wife of an American diplomat.,"Latin, French, English",USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",7.1,2958,tt0013140,N/A,Universal Film Manufacturing Company
Häxan,1922,Not Rated,May,91,"Documentary, Fantasy, History, Horror",Benjamin Christensen,"Maren Pedersen, Clara Pontoppidan, Elith Pio, Oscar Stribolt","Fictionalized documentary showing the evolution of witchcraft, from its pagan roots to its confusion with hysteria in Eastern Europe.","Swedish, Danish","Sweden, Denmark",N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",7.7,12157,tt0013257,N/A,"Svensk Filmindustri, Aljosha Production Company"
Nanook of the North,1922,Not Rated,Jun,78,Documentary,Robert J. Flaherty,"Allakariallak, Alice Nevalinga, Cunayou, Allegoo","In this silent predecessor to the modern documentary, film-maker Robert J. Flaherty spends one year following the lives of Nanook and his family, Inuits living in the Arctic Circle.",N/A,"USA, France",1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.6,10402,tt0013427,N/A,"Pathé Exchange Inc., Les Frères Revillon"
Nosferatu,1922,Not Rated,Jun,94,"Fantasy, Horror",F.W. Murnau,"Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,"None, German",Germany,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",7.9,87917,tt0013442,N/A,Jofa-Atelier Berlin-Johannisthal
The Smiling Madame Beudet,1923,N/A,Nov,26,"Short, Drama",Germaine Dulac,"Germaine Dermoz, Alexandre Arquillière, Jean d'Yd, Yvette Grisier",An unhappily married woman devises a scheme to get rid of her husband.,None,France,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",6.7,1964,tt0013626,N/A,N/A
Our Hospitality,1923,Passed,Dec,65,"Comedy, Romance, Thriller","John G. Blystone, Buster Keaton","Buster Keaton, Natalie Talmadge, Joe Roberts, Francis X. Bushman Jr.","A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.","None, English",USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",7.8,10060,tt0014341,N/A,Joseph M. Schenck Productions
The Wheel,1923,Not Rated,Feb,418,Drama,Abel Gance,"Gabriel de Gravone, Pierre Magnier, Georges Térof, Séverin-Mars","A railway engineer adopts a young girl orphaned by a train crash. Years later when she starts getting suitors, he grapples with whether or not to tell her the truth about her parentage.","None, French, English",France,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",7.4,1919,tt0014417,N/A,Films Abel Gance
The Great White Silence,1924,N/A,,80,Documentary,Herbert G. Ponting,"Robert Falcon Scott, Herbert G. Ponting, Henry R. Bowers, Edgar Evans","In 1910 the British Antarctic Expedition, led by Capt. Robert F. Scott, embarks from Lyttleton, NZ on a quest to become the first to reach the South Pole.",English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",8,917,tt1764657,N/A,N/A
Greed,1924,Not Rated,Jan,140,"Drama, Thriller, Western",Erich von Stroheim,"Zasu Pitts, Gibson Gowland, Jean Hersholt, Dale Fuller",The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,English,USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",8.1,8406,tt0015881,N/A,Metro Goldwyn Mayer
The Last Laugh,1924,Not Rated,Jan,90,Drama,F.W. Murnau,"Emil Jannings, Maly Delschaft, Max Hiller, Emilie Kurz","An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel.",None,Germany,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",8.1,12389,tt0015064,N/A,N/A
Sherlock Jr.,1924,Passed,May,45,"Action, Comedy, Romance",Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","None, English",USA,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",8.2,40713,tt0015324,N/A,Buster Keaton Productions Inc. [us]
The Thief of Bagdad,1924,Not Rated,Apr,155,"Adventure, Family, Fantasy, Romance",Raoul Walsh,"Douglas Fairbanks, Snitz Edwards, Charles Belcher, Julanne Johnston",A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,N/A,USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",7.7,5466,tt0015400,N/A,Douglas Fairbanks Pictures
Battleship Potemkin,1925,Not Rated,Dec,66,"Drama, History, Thriller, War",Sergei M. Eisenstein,"Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","None, Russian",Soviet Union,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",8,52385,tt0015648,N/A,Goskino
The Big Parade,1925,Not Rated,,151,"Drama, Romance, War","King Vidor, George W. Hill","John Gilbert, Renée Adorée, Hobart Bosworth, Claire McDowell",A young American soldier witnesses the horrors of the Great War.,None,USA,3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.9,6124,tt0015624,N/A,Metro-Goldwyn-Mayer
The Eagle,1925,Unrated,Nov,73,"Action, Comedy, Drama, History, Romance",Clarence Brown,"Rudolph Valentino, Vilma Bánky, Louise Dresser, Albert Conti","A wanted Russian lieutenant becomes a masked vigilante seeking vengeance upon the man who stole his family's land, only to fall for his charming daughter.",English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}]",6.6,1709,tt0015772,N/A,Art Finance Corporation
The Gold Rush,1925,Passed,Jul,95,"Adventure, Comedy, Drama, Western",Charles Chaplin,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",A prospector goes to the Klondike in search of gold and finds it and more.,"None, English",USA,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",8.2,99071,tt0015864,N/A,Charles Chaplin Productions
The Phantom of the Opera,1925,Passed,Nov,93,Horror,"Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick","Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edmund Carewe","A mad, disfigured composer seeks love with a lovely young opera singer.",N/A,USA,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",7.6,16381,tt0016220,N/A,Hammer Films
Strike,1925,Not Rated,,82,Drama,Sergei M. Eisenstein,"Maksim Shtraukh, Grigoriy Aleksandrov, Mikhail Gomorov, I. Ivanov",A group of oppressed factory workers go on strike in pre-revolutionary Russia.,None,Soviet Union,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.6,6913,tt0015361,N/A,Goskino
The Adventures of Prince Achmed,1926,Not Rated,Jun,80,"Animation, Adventure, Fantasy, Romance","Lotte Reiniger, Carl Koch",N/A,"A handsome prince rides a flying horse to faraway lands and embarks on magical adventures, which include befriending a witch, meeting Aladdin, battling demons and falling in love with a princess.",None,Germany,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.8,5179,tt0015532,N/A,Paramount
The General,1926,Passed,Jan,67,"Action, Adventure, Comedy, Drama, War","Clyde Bruckman, Buster Keaton","Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","None, English",USA,2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",8.1,79706,tt0017925,N/A,"United Artists, Buster Keaton Productions Inc. [us]"
The Jazz Singer,1927,Unrated,Feb,88,"Drama, Music, Musical, Romance",Alan Crosland,"Al Jolson, May McAvoy, Warner Oland, Eugenie Besserer",The son of a Jewish Cantor must defy the traditions of his religious father in order to pursue his dream of becoming a jazz singer.,English,USA,Nominated for 1 Oscar. Another 3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",6.5,8953,tt0018037,N/A,Warner Bros.
The Kid Brother,1927,Passed,Jan,82,"Comedy, Drama, Family, Romance","Ted Wilde, Harold Lloyd, Lewis Milestone, J.A. Howe(co-director)","Harold Lloyd, Jobyna Ralston, Walter James, Leo Willis",A sheriff's milquetoast son has a chance to prove himself when a medicine show run by con artists comes into town.,English,USA,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.6,3748,tt0018051,N/A,Paramount Pictures
Metropolis,1927,Not Rated,Mar,153,"Drama, Sci-Fi",Fritz Lang,"Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","German, None",Germany,6 wins & 6 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '98/100'}]",8.3,158085,tt0017136,N/A,Paramount
Napoleon,1927,N/A,Feb,330,"Biography, Drama, History, War",Abel Gance,"Albert Dieudonné, Vladimir Roudenko, Edmond Van Daële, Alexandre Koubitzky",A film about the French general's youth and early military career.,N/A,France,4 wins.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",8.1,6938,tt0018192,N/A,"Société Westi, Isepa-Wengeroff Film GmbH, Société générale des films, Films Abel Gance, Ciné France, Pathé Consortium Cinéma"
Sunrise,1927,Passed,Nov,94,"Drama, Romance",F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,English,USA,Won 3 Oscars. Another 3 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",8.1,46415,tt0018455,N/A,Fox Film Corporation
The Unknown,1927,Unrated,Jun,63,"Drama, Horror, Romance, Thriller",Tod Browning,"Lon Chaney, Norman Kerry, Joan Crawford, Nick De Ruiz",A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.,English,USA,1 win & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.8,6707,tt0018528,N/A,Metro-Goldwyn-Mayer
The Crowd,1928,Not Rated,Mar,98,"Drama, Romance",King Vidor,"Eleanor Boardman, James Murray, Bert Roach, Estelle Clark","The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles and downfalls.",None,USA,Nominated for 2 Oscars. Another 2 wins & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",8.1,7403,tt0018806,N/A,Metro Goldwyn Mayer
The Docks of New York,1928,Not Rated,Sep,76,"Crime, Drama, Film-Noir, Romance",Josef von Sternberg,"George Bancroft, Betty Compson, Olga Baclanova, Clyde Cook",A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.,"None, English",USA,3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.5,3879,tt0018839,N/A,N/A
October (Ten Days that Shook the World),1927,N/A,Sep,95,"Drama, History","Grigoriy Aleksandrov, Sergei M. Eisenstein","Nikolay Popov, Vasili Nikandrov, Layaschenko, Chibisov","A large-scale view on the events of 1917 in Russia, when the monarchy was overthrown.",N/A,Soviet Union,2 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",7.4,6527,tt0018217,N/A,Sovkino
The Passion of Joan of Arc,1928,Passed,Oct,114,"Biography, Drama, History",Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","None, French",France,3 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",8.1,46289,tt0019254,N/A,Société générale des films
"Steamboat Bill, Jr.",1928,Not Rated,May,70,"Action, Comedy, Drama, Family, Romance","Charles Reisner, Buster Keaton","Buster Keaton, Tom McGuire, Ernest Torrence, Tom Lewis",The effete son of a cantankerous riverboat captain comes to join his father's crew.,"None, English",USA,3 wins & 3 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.9,13052,tt0019421,N/A,Buster Keaton Productions Inc. [us]
Storm Over Asia,1928,N/A,Sep,74,"Drama, War",Vsevolod Pudovkin,"Valéry Inkijinoff, I. Dedintsev, Aleksandr Chistyakov, Viktor Tsoppi","After a run-in with the law, a Mongolian man becomes a fugitive and joins the Russian Civil War.","None, Russian",Soviet Union,1 win.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",7.1,1831,tt0019286,N/A,N/A
Blackmail,1929,Not Rated,Oct,85,"Crime, Thriller",Alfred Hitchcock,"Anny Ondra, Sara Allgood, Charles Paton, John Longden","After killing a man in self-defense, a young woman is blackmailed by a witness to the killing.",English,UK,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",7,9502,tt0019702,N/A,British International Pictures
Man with a Movie Camera,1929,Not Rated,May,68,"Documentary, Music",Dziga Vertov,Mikhail Kaufman,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",None,Soviet Union,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",8.4,22024,tt0019760,N/A,N/A
Pandora's Box,1929,Not Rated,Feb,109,"Crime, Drama, Romance",Georg Wilhelm Pabst,"Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz",The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,"None, German",Germany,1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",7.9,9683,tt0018737,N/A,Nero-Film AG
A Throw of Dice,1929,NOT RATED,Jan,74,"Adventure, Drama, Romance",Franz Osten,"Seeta Devi, Himansu Rai, Charu Roy, Modhu Bose","With King Ranjit visiting him, King Sohat sees an opportunity to kill his young cousin and take over his kingdom. One of Sohat's henchmen fells Ranjit with a poisoned arrow, making it look ...",English,"UK, India, Germany",N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",6.7,534,tt0020286,N/A,N/A
L'Age d'Or,1930,Not Rated,Nov,63,"Comedy, Drama",Luis Buñuel,"Gaston Modot, Lya Lys, Caridad de Laberdesque, Max Ernst","A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",French,France,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",7.3,12612,tt0021577,N/A,Kino International Corp.
All Quiet on the Western Front,1930,Passed,Aug,152,"Drama, War",Lewis Milestone,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","English, French, German, Latin",USA,Won 2 Oscars. Another 5 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",8,56756,tt0020629,N/A,Universal Pictures
#DUPE#,1930,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,tt0020697,N/A,N/A
Earth,1930,Unrated,Oct,75,Drama,Aleksandr Dovzhenko,"Stepan Shkurat, Semyon Svashenko, Yuliya Solntseva, Yelena Maksimova","In the peaceful countryside, Vassily opposes the rich kulaks over the coming of collective farming.",Russian,Soviet Union,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}]",7.3,4951,tt0021571,N/A,N/A
La Chienne,1931,Not Rated,Nov,95,"Crime, Drama",Jean Renoir,"Michel Simon, Janie Marèse, Georges Flamant, Roger Gaillard",A woman and her pimp exploit a painter for money.,French,France,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.6,3671,tt0021739,N/A,Les Établissements Braunberger-Richebé
